date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:40	19209/19209	---M-Z	200	added ('OK')	text/html	etag:%224b09-57c652db60d00-gzip%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/lora_sensor/Arduino_lora_simple_temp.html	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/sensors/lora_sensor/Arduino_lora_simple_temp.html	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:50	62755/62755	---M--	200	added ('OK')	image/jpeg	etag:%22f523-57ab6ac8b4c40%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/iot-innovating.jpg	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/iot-innovating.jpg	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:51	106836/106836	---M--	200	added ('OK')	image/png	etag:%221a154-570cc197fd2c0%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/wazihublogo.png	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/wazihublogo.png	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:54	80803/80803	---M--	200	added ('OK')	image/jpeg	etag:%2213ba3-57ab6adea4000%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/waziup-wazihub.jpg	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/waziup-wazihub.jpg	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:21:55	93115/93115	---M--	200	added ('OK')	image/jpeg	etag:%2216bbb-57ab6aa383480%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/iot-app.jpg	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/iot-app.jpg	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:22:00	31028/31028	---M--	200	added ('OK')	image/png	etag:%227934-546ea19d16c40%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/arduino-blink.png	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/arduino-blink.png	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:22:07	102918/102918	---M--	200	added ('OK')	image/jpeg	etag:%2219206-546de2780f4c0%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/sensors.jpg	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/sensors.jpg	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:22:10	16595/16595	---M--	200	added ('OK')	image/jpeg	etag:%2240d3-57a87b8e8ee40%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/breadboard_promini.jpg	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/breadboard_promini.jpg	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:22:14	24019/24019	---M--	200	added ('OK')	image/png	etag:%225dd3-57a7e5a990900%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/breadboard_horizontal-rows.png	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/breadboard_horizontal-rows.png	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
10:22:27	78228/78228	---M--	200	added ('OK')	image/png	etag:%2213194-57a7e68118580%22	http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/breadboard_led.png	cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/assets/img/breadboard_led.png	(from http://cpham.perso.univ-pau.fr/LORA/WAZIUP/tuto/)
